0.7086              precision    recall  f1-score   support
Total Instances = 1402; Num instances misclassified = 328; Minimal noise = 0.072; Accuracy = 0.76604850214; classes= 0(179,66),1(82,37),2(94,36),3(336,11),4(7,3),5(126,64),6(8,5),7(45,32),8(474,53),9(51,21);0.846368715084              precision    recall  f1-score   support

         0.0       0.81      0.69      0.75       113
         1.0       0.72      0.64      0.68        45
         2.0       0.83      0.66      0.73        58
         3.0       0.81      0.96      0.88       325
         4.0       0.38      0.75      0.50         4
         5.0       0.86      0.52      0.65        62
         6.0       1.00      1.00      1.00         3
         7.0       1.00      0.31      0.47        13
         8.0       0.90      0.92      0.91       421
         9.0       0.92      0.73      0.81        30

   micro avg       0.85      0.85      0.85      1074
   macro avg       0.82      0.72      0.74      1074
weighted avg       0.85      0.85      0.84      1074

Total Instances = 1074; Num instances misclassified = 165; Minimal noise = 0.084; Accuracy = 0.846368715084; classes= 0(113,35),1(45,16),2(58,20),3(325,12),4(4,1),5(62,30),6(3,0),7(13,9),8(421,34),9(30,8);0.8899889989              precision    recall  f1-score   support

         0.0       0.86      0.88      0.87        78
         1.0       0.84      0.55      0.67        29
         2.0       0.73      0.63      0.68        38
         3.0       0.88      0.95      0.92       313
         4.0       1.00      0.33      0.50         3
         5.0       1.00      0.62      0.77        32
         6.0       1.00      1.00      1.00         3
         7.0       1.00      0.50      0.67         4
         8.0       0.92      0.93      0.92       387
         9.0       0.79      0.68      0.73        22

   micro avg       0.89      0.89      0.89       909
   macro avg       0.90      0.71      0.77       909
weighted avg       0.89      0.89      0.89       909

Total Instances = 909; Num instances misclassified = 100; Minimal noise = 0.096; Accuracy = 0.8899889989; classes= 0(78,9),1(29,13),2(38,14),3(313,15),4(3,2),5(32,12),6(3,0),7(4,2),8(387,26),9(22,7);0.930778739184              precision    recall  f1-score   support

         0.0       0.94      0.87      0.90        69
         1.0       0.80      0.50      0.62        16
         2.0       0.94      0.71      0.81        24
         3.0       0.93      0.96      0.95       298
         4.0       0.25      1.00      0.40         1
         5.0       1.00      0.70      0.82        20
         6.0       0.50      0.67      0.57         3
         7.0       1.00      1.00      1.00         2
         8.0       0.94      0.98      0.96       361
         9.0       0.91      0.67      0.77        15

   micro avg       0.93      0.93      0.93       809
   macro avg       0.82      0.80      0.78       809
weighted avg       0.93      0.93      0.93       809

Total Instances = 809; Num instances misclassified = 56; Minimal noise = 0.108; Accuracy = 0.930778739184; classes= 0(69,9),1(16,8),2(24,7),3(298,11),4(1,0),5(20,6),6(3,1),7(2,0),8(361,9),9(15,5);0.932270916335              precision    recall  f1-score   support

         0.0       0.90      0.92      0.91        60
         1.0       0.86      0.75      0.80         8
         2.0       0.75      0.71      0.73        17
         3.0       0.93      0.97      0.95       287
         4.0       1.00      1.00      1.00         1
         5.0       1.00      0.36      0.53        14
         6.0       1.00      0.50      0.67         2
         7.0       1.00      1.00      1.00         2
         8.0       0.95      0.95      0.95       352
         9.0       0.82      0.90      0.86        10

   micro avg       0.93      0.93      0.93       753
   macro avg       0.92      0.80      0.84       753
weighted avg       0.93      0.93      0.93       753

Total Instances = 753; Num instances misclassified = 51; Minimal noise = 0.12; Accuracy = 0.932270916335; classes= 0(60,5),1(8,2),2(17,5),3(287,10),4(1,0),5(14,9),6(2,1),7(2,0),8(352,18),9(10,1);0.960113960114              precision    recall  f1-score   support

         0.0       0.93      0.95      0.94        55
         1.0       0.80      0.67      0.73         6
         2.0       1.00      0.75      0.86        12
         3.0       0.96      0.97      0.97       277
         4.0       1.00      1.00      1.00         1
         5.0       1.00      0.60      0.75         5
         6.0       0.00      0.00      0.00         1
         7.0       1.00      0.50      0.67         2
         8.0       0.97      0.98      0.97       334
         9.0       0.78      0.78      0.78         9

   micro avg       0.96      0.96      0.96       702
   macro avg       0.84      0.72      0.77       702
weighted avg       0.96      0.96      0.96       702

Total Instances = 702; Num instances misclassified = 28; Minimal noise = 0.132; Accuracy = 0.960113960114; classes= 0(55,3),1(6,2),2(12,3),3(277,7),4(1,0),5(5,2),6(1,1),7(2,1),8(334,7),9(9,2);0.942136498516              precision    recall  f1-score   support

         0.0       0.92      0.88      0.90        52
         1.0       0.60      0.75      0.67         4
         2.0       0.67      0.67      0.67         9
         3.0       0.97      0.93      0.95       270
         4.0       1.00      1.00      1.00         1
         5.0       1.00      0.67      0.80         3
         7.0       1.00      1.00      1.00         1
         8.0       0.94      0.98      0.96       327
         9.0       0.80      0.57      0.67         7

   micro avg       0.94      0.94      0.94       674
   macro avg       0.88      0.83      0.85       674
weighted avg       0.94      0.94      0.94       674

Total Instances = 674; Num instances misclassified = 39; Minimal noise = 0.144; Accuracy = 0.942136498516; classes= 0(52,6),1(4,1),2(9,3),3(270,18),4(1,0),5(3,1),6(0,0),7(1,0),8(327,7),9(7,3);0.963779527559              precision    recall  f1-score   support

         0.0       0.90      0.96      0.93        46
         1.0       1.00      1.00      1.00         3
         2.0       0.57      0.67      0.62         6
         3.0       0.98      0.97      0.98       252
         4.0       1.00      1.00      1.00         1
         5.0       0.00      0.00      0.00         2
         7.0       1.00      1.00      1.00         1
         8.0       0.97      0.97      0.97       320
         9.0       1.00      0.50      0.67         4

   micro avg       0.96      0.96      0.96       635
   macro avg       0.82      0.79      0.80       635
weighted avg       0.96      0.96      0.96       635

Total Instances = 635; Num instances misclassified = 23; Minimal noise = 0.156; Accuracy = 0.963779527559; classes= 0(46,2),1(3,0),2(6,2),3(252,7),4(1,0),5(2,2),6(0,0),7(1,0),8(320,8),9(4,2);0.955882352941              precision    recall  f1-score   support

         0.0       0.85      0.93      0.89        44
         1.0       0.33      0.33      0.33         3
         2.0       0.50      1.00      0.67         4
         3.0       0.97      0.95      0.96       245
         4.0       1.00      1.00      1.00         1
         7.0       1.00      1.00      1.00         1
         8.0       0.97      0.97      0.97       312
         9.0       1.00      1.00      1.00         2

   micro avg       0.96      0.96      0.96       612
   macro avg       0.83      0.90      0.85       612
weighted avg       0.96      0.96      0.96       612

Total Instances = 612; Num instances misclassified = 27; Minimal noise = 0.168; Accuracy = 0.955882352941; classes= 0(44,3),1(3,2),2(4,0),3(245,13),4(1,0),5(0,0),6(0,0),7(1,0),8(312,9),9(2,0);0.974358974359              precision    recall  f1-score   support

         0.0       0.97      0.95      0.96        41
         1.0       0.00      0.00      0.00         1
         2.0       0.50      1.00      0.67         4
         3.0       0.99      0.97      0.98       232
         4.0       0.33      1.00      0.50         1
         7.0       1.00      1.00      1.00         1
         8.0       0.98      0.99      0.99       303
         9.0       1.00      0.50      0.67         2

   micro avg       0.97      0.97      0.97       585
   macro avg       0.72      0.80      0.72       585
weighted avg       0.98      0.97      0.98       585

Total Instances = 585; Num instances misclassified = 15; Minimal noise = 0.18; Accuracy = 0.974358974359; classes= 0(41,2),1(1,1),2(4,0),3(232,7),4(1,0),5(0,0),6(0,0),7(1,0),8(303,4),9(2,1);0.977192982456              precision    recall  f1-score   support

         0.0       0.92      0.92      0.92        39
         2.0       0.75      0.75      0.75         4
         3.0       0.99      0.98      0.98       225
         4.0       1.00      1.00      1.00         1
         7.0       0.00      0.00      0.00         1
         8.0       0.98      0.99      0.99       299
         9.0       1.00      1.00      1.00         1

   micro avg       0.98      0.98      0.98       570
   macro avg       0.81      0.81      0.81       570
weighted avg       0.98      0.98      0.98       570

Total Instances = 570; Num instances misclassified = 13; Minimal noise = 0.192; Accuracy = 0.977192982456; classes= 0(39,3),1(0,0),2(4,1),3(225,5),4(1,0),5(0,0),6(0,0),7(1,1),8(299,3),9(1,0);0.982046678636              precision    recall  f1-score   support

         0.0       1.00      0.94      0.97        36
         1.0       0.00      0.00      0.00         0
         2.0       1.00      0.67      0.80         3
         3.0       0.99      0.99      0.99       220
         4.0       1.00      1.00      1.00         1
         8.0       0.98      0.99      0.99       296
         9.0       0.00      0.00      0.00         1

   micro avg       0.98      0.98      0.98       557
   macro avg       0.71      0.66      0.68       557
weighted avg       0.98      0.98      0.98       557

Total Instances = 557; Num instances misclassified = 10; Minimal noise = 0.204; Accuracy = 0.982046678636; classes= 0(36,2),1(0,0),2(3,1),3(220,3),4(1,0),5(0,0),6(0,0),7(0,0),8(296,3),9(1,1);0.985374771481              precision    recall  f1-score   support

         0.0       0.94      0.97      0.96        34
         2.0       0.40      1.00      0.57         2
         3.0       1.00      0.98      0.99       217
         4.0       1.00      1.00      1.00         1
         8.0       0.99      0.99      0.99       293

   micro avg       0.99      0.99      0.99       547
   macro avg       0.87      0.99      0.90       547
weighted avg       0.99      0.99      0.99       547

Total Instances = 547; Num instances misclassified = 8; Minimal noise = 0.216; Accuracy = 0.985374771481; classes= 0(34,1),1(0,0),2(2,0),3(217,5),4(1,0),5(0,0),6(0,0),7(0,0),8(293,2),9(0,0);0.985157699443              precision    recall  f1-score   support

         0.0       1.00      0.97      0.98        33
         1.0       0.00      0.00      0.00         0
         2.0       0.33      1.00      0.50         2
         3.0       1.00      0.98      0.99       212
         4.0       1.00      1.00      1.00         1
         8.0       0.99      0.99      0.99       291

   micro avg       0.99      0.99      0.99       539
   macro avg       0.72      0.82      0.74       539
weighted avg       0.99      0.99      0.99       539

Total Instances = 539; Num instances misclassified = 8; Minimal noise = 0.228; Accuracy = 0.985157699443; classes= 0(33,1),1(0,0),2(2,0),3(212,4),4(1,0),5(0,0),6(0,0),7(0,0),8(291,3),9(0,0);0.971751412429              precision    recall  f1-score   support

         0.0       0.94      0.94      0.94        32
         1.0       0.00      0.00      0.00         0
         2.0       0.29      1.00      0.44         2
         3.0       1.00      0.94      0.97       208
         4.0       1.00      1.00      1.00         1
         6.0       0.00      0.00      0.00         0
         8.0       0.98      1.00      0.99       288

   micro avg       0.97      0.97      0.97       531
   macro avg       0.60      0.70      0.62       531
weighted avg       0.98      0.97      0.98       531

Total Instances = 531; Num instances misclassified = 15; Minimal noise = 0.24; Accuracy = 0.971751412429; classes= 0(32,2),1(0,0),2(2,0),3(208,12),4(1,0),5(0,0),6(0,0),7(0,0),8(288,1),9(0,0);0.984496124031              precision    recall  f1-score   support

         0.0       1.00      0.93      0.97        30
         1.0       0.00      0.00      0.00         0
         2.0       0.40      1.00      0.57         2
         3.0       0.99      0.98      0.99       196
         4.0       1.00      1.00      1.00         1
         8.0       0.99      0.99      0.99       287

   micro avg       0.98      0.98      0.98       516
   macro avg       0.73      0.82      0.75       516
weighted avg       0.99      0.98      0.99       516

Total Instances = 516; Num instances misclassified = 8; Minimal noise = 0.252; Accuracy = 0.984496124031; classes= 0(30,2),1(0,0),2(2,0),3(196,4),4(1,0),5(0,0),6(0,0),7(0,0),8(287,2),9(0,0);0.986220472441              precision    recall  f1-score   support

         0.0       0.96      0.96      0.96        28
         2.0       0.25      0.50      0.33         2
         3.0       0.99      0.98      0.99       192
         4.0       1.00      1.00      1.00         1
         8.0       0.99      0.99      0.99       285

   micro avg       0.99      0.99      0.99       508
   macro avg       0.84      0.89      0.86       508
weighted avg       0.99      0.99      0.99       508

Total Instances = 508; Num instances misclassified = 7; Minimal noise = 0.264; Accuracy = 0.986220472441; classes= 0(28,1),1(0,0),2(2,1),3(192,3),4(1,0),5(0,0),6(0,0),7(0,0),8(285,2),9(0,0);0.99001996008              precision    recall  f1-score   support

         0.0       1.00      0.96      0.98        27
         2.0       0.33      1.00      0.50         1
         3.0       1.00      0.98      0.99       189
         4.0       1.00      1.00      1.00         1
         8.0       0.99      1.00      0.99       283

   micro avg       0.99      0.99      0.99       501
   macro avg       0.86      0.99      0.89       501
weighted avg       0.99      0.99      0.99       501

Total Instances = 501; Num instances misclassified = 5; Minimal noise = 0.276; Accuracy = 0.99001996008; classes= 0(27,1),1(0,0),2(1,0),3(189,4),4(1,0),5(0,0),6(0,0),7(0,0),8(283,0),9(0,0);0.983870967742              precision    recall  f1-score   support

         0.0       1.00      0.92      0.96        26
         2.0       0.20      1.00      0.33         1
         3.0       1.00      0.97      0.99       185
         4.0       1.00      1.00      1.00         1
         8.0       0.99      1.00      0.99       283

   micro avg       0.98      0.98      0.98       496
   macro avg       0.84      0.98      0.85       496
weighted avg       0.99      0.98      0.99       496

Total Instances = 496; Num instances misclassified = 8; Minimal noise = 0.288; Accuracy = 0.983870967742; classes= 0(26,2),1(0,0),2(1,0),3(185,5),4(1,0),5(0,0),6(0,0),7(0,0),8(283,1),9(0,0);0.987704918033              precision    recall  f1-score   support

         0.0       0.96      0.96      0.96        24
         2.0       0.25      1.00      0.40         1
         3.0       1.00      0.99      0.99       180
         4.0       1.00      1.00      1.00         1
         8.0       0.99      0.99      0.99       282

   micro avg       0.99      0.99      0.99       488
   macro avg       0.84      0.99      0.87       488
weighted avg       0.99      0.99      0.99       488

Total Instances = 488; Num instances misclassified = 6; Minimal noise = 0.3; Accuracy = 0.987704918033; classes= 0(24,1),1(0,0),2(1,0),3(180,2),4(1,0),5(0,0),6(0,0),7(0,0),8(282,3),9(0,0);
