0.7086              precision    recall  f1-score   support
         7.0       0.75      0.21      0.33        28
         8.0       0.79      0.22      0.34        51
         9.0       0.75      0.48      0.58       176

   micro avg       0.72      0.72      0.72      1239
   macro avg       0.53      0.31      0.36      1239
weighted avg       0.72      0.72      0.68      1239
maxpredicted=0.000000maxpredicted min=-1.023349
Total Instances = 1239; Num instances misclassified = 345; Minimal noise = 0.48; Accuracy = 0.721549636804; classes= 0(75,50),1(116,77),2(32,21),3(4,4),4(38,30),5(0,0),6(719,9),7(28,22),8(51,40),9(176,92);0.838926174497              precision    recall  f1-score   support

         0.0       0.90      0.36      0.51        25
         1.0       0.80      0.21      0.33        39
         2.0       0.36      0.36      0.36        11
         3.0       0.00      0.00      0.00         0
         4.0       0.00      0.00      0.00         8
         6.0       0.86      0.98      0.92       710
         7.0       1.00      0.33      0.50         6
         8.0       0.75      0.27      0.40        11
         9.0       0.67      0.31      0.42        84

   micro avg       0.84      0.84      0.84       894
   macro avg       0.59      0.31      0.38       894
weighted avg       0.83      0.84      0.81       894
maxpredicted=0.000000maxpredicted min=-0.777613
Total Instances = 894; Num instances misclassified = 144; Minimal noise = 0.56; Accuracy = 0.838926174497; classes= 0(25,16),1(39,31),2(11,7),3(0,0),4(8,8),5(0,0),6(710,12),7(6,4),8(11,8),9(84,58);0.932              precision    recall  f1-score   support

         0.0       1.00      0.44      0.62         9
         1.0       0.25      0.12      0.17         8
         2.0       0.25      0.50      0.33         4
         4.0       0.00      0.00      0.00         0
         6.0       0.96      0.98      0.97       698
         7.0       0.00      0.00      0.00         2
         8.0       0.00      0.00      0.00         3
         9.0       0.53      0.35      0.42        26

   micro avg       0.93      0.93      0.93       750
   macro avg       0.37      0.30      0.31       750
weighted avg       0.92      0.93      0.93       750
maxpredicted=0.000000maxpredicted min=-0.553162
Total Instances = 750; Num instances misclassified = 51; Minimal noise = 0.64; Accuracy = 0.932; classes= 0(9,5),1(8,7),2(4,2),3(0,0),4(0,0),5(0,0),6(698,15),7(2,2),8(3,3),9(26,17);0.972818311874              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00         4
         1.0       0.00      0.00      0.00         1
         2.0       0.50      0.50      0.50         2
         4.0       0.00      0.00      0.00         0
         6.0       0.98      0.99      0.99       683
         8.0       0.00      0.00      0.00         0
         9.0       0.40      0.22      0.29         9

   micro avg       0.97      0.97      0.97       699
   macro avg       0.27      0.24      0.25       699
weighted avg       0.97      0.97      0.97       699
maxpredicted=0.000000maxpredicted min=-0.656818
Total Instances = 699; Num instances misclassified = 19; Minimal noise = 0.72; Accuracy = 0.972818311874; classes= 0(4,4),1(1,1),2(2,1),3(0,0),4(0,0),5(0,0),6(683,6),7(0,0),8(0,0),9(9,7);0.967647058824              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00         0
         1.0       0.00      0.00      0.00         0
         2.0       0.00      0.00      0.00         1
         4.0       0.00      0.00      0.00         0
         6.0       1.00      0.97      0.98       677
         9.0       0.12      0.50      0.20         2

   micro avg       0.97      0.97      0.97       680
   macro avg       0.19      0.25      0.20       680
weighted avg       0.99      0.97      0.98       680
maxpredicted=0.000000maxpredicted min=-0.663459
Total Instances = 680; Num instances misclassified = 22; Minimal noise = 0.8; Accuracy = 0.967647058824; classes= 0(0,0),1(0,0),2(1,1),3(0,0),4(0,0),5(0,0),6(677,20),7(0,0),8(0,0),9(2,1);0.969604863222              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00         0
         1.0       0.00      0.00      0.00         0
         2.0       0.00      0.00      0.00         0
         4.0       0.00      0.00      0.00         0
         6.0       1.00      0.97      0.98       657
         9.0       0.00      0.00      0.00         1

   micro avg       0.97      0.97      0.97       658
   macro avg       0.17      0.16      0.16       658
weighted avg       1.00      0.97      0.98       658
maxpredicted=0.000000maxpredicted min=-0.681689
Total Instances = 658; Num instances misclassified = 20; Minimal noise = 0.88; Accuracy = 0.969604863222; classes= 0(0,0),1(0,0),2(0,0),3(0,0),4(0,0),5(0,0),6(657,19),7(0,0),8(0,0),9(1,1);0.973354231975              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00         0
         1.0       0.00      0.00      0.00         0
         2.0       0.00      0.00      0.00         0
         4.0       0.00      0.00      0.00         0
         6.0       1.00      0.97      0.99       638
         9.0       0.00      0.00      0.00         0

   micro avg       0.97      0.97      0.97       638
   macro avg       0.17      0.16      0.16       638
weighted avg       1.00      0.97      0.99       638
maxpredicted=0.000000maxpredicted min=-0.637103
Total Instances = 638; Num instances misclassified = 17; Minimal noise = 0.96; Accuracy = 0.973354231975; classes= 0(0,0),1(0,0),2(0,0),3(0,0),4(0,0),5(0,0),6(638,17),7(0,0),8(0,0),9(0,0);0.961352657005              precision    recall  f1-score   support

         1.0       0.00      0.00      0.00         0
         2.0       0.00      0.00      0.00         0
         6.0       1.00      0.96      0.98       621
         8.0       0.00      0.00      0.00         0
         9.0       0.00      0.00      0.00         0

   micro avg       0.96      0.96      0.96       621
   macro avg       0.20      0.19      0.20       621
weighted avg       1.00      0.96      0.98       621
maxpredicted=0.000000maxpredicted min=-0.674953
Total Instances = 621; Num instances misclassified = 24; Minimal noise = 1.04; Accuracy = 0.961352657005; classes= 0(0,0),1(0,0),2(0,0),3(0,0),4(0,0),5(0,0),6(621,24),7(0,0),8(0,0),9(0,0);0.963149078727              precision    recall  f1-score   support

         1.0       0.00      0.00      0.00         0
         2.0       0.00      0.00      0.00         0
         4.0       0.00      0.00      0.00         0
         6.0       1.00      0.96      0.98       597
         7.0       0.00      0.00      0.00         0
         9.0       0.00      0.00      0.00         0

   micro avg       0.96      0.96      0.96       597
   macro avg       0.17      0.16      0.16       597
weighted avg       1.00      0.96      0.98       597
maxpredicted=0.000000maxpredicted min=-0.685164
Total Instances = 597; Num instances misclassified = 22; Minimal noise = 1.12; Accuracy = 0.963149078727; classes= 0(0,0),1(0,0),2(0,0),3(0,0),4(0,0),5(0,0),6(597,22),7(0,0),8(0,0),9(0,0);0.96              precision    recall  f1-score   support

         1.0       0.00      0.00      0.00         0
         2.0       0.00      0.00      0.00         0
         4.0       0.00      0.00      0.00         0
         6.0       1.00      0.96      0.98       575
         7.0       0.00      0.00      0.00         0
         8.0       0.00      0.00      0.00         0
         9.0       0.00      0.00      0.00         0

   micro avg       0.96      0.96      0.96       575
   macro avg       0.14      0.14      0.14       575
weighted avg       1.00      0.96      0.98       575
maxpredicted=0.000000maxpredicted min=-0.684755
Total Instances = 575; Num instances misclassified = 23; Minimal noise = 1.2; Accuracy = 0.96; classes= 0(0,0),1(0,0),2(0,0),3(0,0),4(0,0),5(0,0),6(575,23),7(0,0),8(0,0),9(0,0);0.951086956522              precision    recall  f1-score   support

         1.0       0.00      0.00      0.00         0
         2.0       0.00      0.00      0.00         0
         6.0       1.00      0.95      0.97       552
         7.0       0.00      0.00      0.00         0
         8.0       0.00      0.00      0.00         0
         9.0       0.00      0.00      0.00         0

   micro avg       0.95      0.95      0.95       552
   macro avg       0.17      0.16      0.16       552
weighted avg       1.00      0.95      0.97       552
maxpredicted=0.000000maxpredicted min=-0.750707
Total Instances = 552; Num instances misclassified = 27; Minimal noise = 1.28; Accuracy = 0.951086956522; classes= 0(0,0),1(0,0),2(0,0),3(0,0),4(0,0),5(0,0),6(552,27),7(0,0),8(0,0),9(0,0);0.952380952381              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00         0
         1.0       0.00      0.00      0.00         0
         2.0       0.00      0.00      0.00         0
         4.0       0.00      0.00      0.00         0
         6.0       1.00      0.95      0.98       525
         8.0       0.00      0.00      0.00         0
         9.0       0.00      0.00      0.00         0

   micro avg       0.95      0.95      0.95       525
   macro avg       0.14      0.14      0.14       525
weighted avg       1.00      0.95      0.98       525
maxpredicted=0.000000maxpredicted min=-0.957058
Total Instances = 525; Num instances misclassified = 25; Minimal noise = 1.36; Accuracy = 0.952380952381; classes= 0(0,0),1(0,0),2(0,0),3(0,0),4(0,0),5(0,0),6(525,25),7(0,0),8(0,0),9(0,0);0.954              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00         0
         1.0       0.00      0.00      0.00         0
         2.0       0.00      0.00      0.00         0
         6.0       1.00      0.95      0.98       500
         7.0       0.00      0.00      0.00         0
         9.0       0.00      0.00      0.00         0

   micro avg       0.95      0.95      0.95       500
   macro avg       0.17      0.16      0.16       500
weighted avg       1.00      0.95      0.98       500
maxpredicted=0.000000maxpredicted min=-0.677381
Total Instances = 500; Num instances misclassified = 23; Minimal noise = 1.44; Accuracy = 0.954; classes= 0(0,0),1(0,0),2(0,0),3(0,0),4(0,0),5(0,0),6(500,23),7(0,0),8(0,0),9(0,0);0.926624737945              precision    recall  f1-score   support

         1.0       0.00      0.00      0.00         0
         2.0       0.00      0.00      0.00         0
         4.0       0.00      0.00      0.00         0
         6.0       1.00      0.93      0.96       477
         7.0       0.00      0.00      0.00         0
         8.0       0.00      0.00      0.00         0
         9.0       0.00      0.00      0.00         0

   micro avg       0.93      0.93      0.93       477
   macro avg       0.14      0.13      0.14       477
weighted avg       1.00      0.93      0.96       477
maxpredicted=0.000000maxpredicted min=-0.713700
Total Instances = 477; Num instances misclassified = 35; Minimal noise = 1.52; Accuracy = 0.926624737945; classes= 0(0,0),1(0,0),2(0,0),3(0,0),4(0,0),5(0,0),6(477,35),7(0,0),8(0,0),9(0,0);0.941176470588              precision    recall  f1-score   support

         1.0       0.00      0.00      0.00         0
         2.0       0.00      0.00      0.00         0
         6.0       1.00      0.94      0.97       442
         8.0       0.00      0.00      0.00         0
         9.0       0.00      0.00      0.00         0

   micro avg       0.94      0.94      0.94       442
   macro avg       0.20      0.19      0.19       442
weighted avg       1.00      0.94      0.97       442
maxpredicted=0.000000maxpredicted min=-0.755489
Total Instances = 442; Num instances misclassified = 26; Minimal noise = 1.6; Accuracy = 0.941176470588; classes= 0(0,0),1(0,0),2(0,0),3(0,0),4(0,0),5(0,0),6(442,26),7(0,0),8(0,0),9(0,0);0.951923076923              precision    recall  f1-score   support

         1.0       0.00      0.00      0.00         0
         2.0       0.00      0.00      0.00         0
         4.0       0.00      0.00      0.00         0
         6.0       1.00      0.95      0.98       416
         7.0       0.00      0.00      0.00         0
         8.0       0.00      0.00      0.00         0
         9.0       0.00      0.00      0.00         0

   micro avg       0.95      0.95      0.95       416
   macro avg       0.14      0.14      0.14       416
weighted avg       1.00      0.95      0.98       416
maxpredicted=0.000000maxpredicted min=-0.597650
Total Instances = 416; Num instances misclassified = 20; Minimal noise = 1.68; Accuracy = 0.951923076923; classes= 0(0,0),1(0,0),2(0,0),3(0,0),4(0,0),5(0,0),6(416,20),7(0,0),8(0,0),9(0,0);0.949494949495              precision    recall  f1-score   support

         1.0       0.00      0.00      0.00         0
         2.0       0.00      0.00      0.00         0
         6.0       1.00      0.95      0.97       396
         7.0       0.00      0.00      0.00         0
         9.0       0.00      0.00      0.00         0

   micro avg       0.95      0.95      0.95       396
   macro avg       0.20      0.19      0.19       396
weighted avg       1.00      0.95      0.97       396
maxpredicted=0.000000maxpredicted min=-0.731225
Total Instances = 396; Num instances misclassified = 20; Minimal noise = 1.76; Accuracy = 0.949494949495; classes= 0(0,0),1(0,0),2(0,0),3(0,0),4(0,0),5(0,0),6(396,20),7(0,0),8(0,0),9(0,0);0.94414893617              precision    recall  f1-score   support

         1.0       0.00      0.00      0.00         0
         6.0       1.00      0.94      0.97       376
         7.0       0.00      0.00      0.00         0
         8.0       0.00      0.00      0.00         0
         9.0       0.00      0.00      0.00         0

   micro avg       0.94      0.94      0.94       376
   macro avg       0.20      0.19      0.19       376
weighted avg       1.00      0.94      0.97       376
maxpredicted=0.000000maxpredicted min=-0.761852
Total Instances = 376; Num instances misclassified = 21; Minimal noise = 1.84; Accuracy = 0.94414893617; classes= 0(0,0),1(0,0),2(0,0),3(0,0),4(0,0),5(0,0),6(376,21),7(0,0),8(0,0),9(0,0);0.929577464789              precision    recall  f1-score   support

         1.0       0.00      0.00      0.00         0
         2.0       0.00      0.00      0.00         0
         6.0       1.00      0.93      0.96       355
         7.0       0.00      0.00      0.00         0
         8.0       0.00      0.00      0.00         0
         9.0       0.00      0.00      0.00         0

   micro avg       0.93      0.93      0.93       355
   macro avg       0.17      0.15      0.16       355
weighted avg       1.00      0.93      0.96       355
maxpredicted=0.000000maxpredicted min=-0.599488
Total Instances = 355; Num instances misclassified = 25; Minimal noise = 1.92; Accuracy = 0.929577464789; classes= 0(0,0),1(0,0),2(0,0),3(0,0),4(0,0),5(0,0),6(355,25),7(0,0),8(0,0),9(0,0);0.933333333333              precision    recall  f1-score   support

         1.0       0.00      0.00      0.00         0
         2.0       0.00      0.00      0.00         0
         3.0       0.00      0.00      0.00         0
         4.0       0.00      0.00      0.00         0
         6.0       1.00      0.93      0.97       330
         7.0       0.00      0.00      0.00         0
         9.0       0.00      0.00      0.00         0

   micro avg       0.93      0.93      0.93       330
   macro avg       0.14      0.13      0.14       330
weighted avg       1.00      0.93      0.97       330
maxpredicted=0.000000maxpredicted min=-0.665691
Total Instances = 330; Num instances misclassified = 22; Minimal noise = 2.0; Accuracy = 0.933333333333; classes= 0(0,0),1(0,0),2(0,0),3(0,0),4(0,0),5(0,0),6(330,22),7(0,0),8(0,0),9(0,0);
