0.7086              precision    recall  f1-score   support
         8.0       0.91      0.74      0.82       262
         9.0       0.86      0.87      0.87       523

   micro avg       0.80      0.80      0.80      2863
   macro avg       0.81      0.73      0.76      2863
weighted avg       0.82      0.80      0.80      2863
maxpredicted=0.000000maxpredicted min=-0.937014
Total Instances = 2863; Num instances misclassified = 559; Minimal noise = 0.6; Accuracy = 0.804750261963; classes= 0(295,72),1(388,90),2(152,39),3(69,30),4(220,70),5(57,27),6(648,21),7(249,73),8(262,67),9(523,70);0.825520833333              precision    recall  f1-score   support

         0.0       0.94      0.73      0.82       223
         1.0       0.85      0.77      0.81       298
         2.0       0.70      0.75      0.73       113
         3.0       0.70      0.54      0.61        39
         4.0       0.63      0.73      0.68       150
         5.0       0.70      0.53      0.60        30
         6.0       0.78      0.99      0.87       627
         7.0       0.93      0.70      0.80       176
         8.0       0.93      0.74      0.83       195
         9.0       0.90      0.87      0.88       453

   micro avg       0.83      0.83      0.83      2304
   macro avg       0.81      0.73      0.76      2304
weighted avg       0.84      0.83      0.82      2304
maxpredicted=0.000000maxpredicted min=-0.979730
Total Instances = 2304; Num instances misclassified = 402; Minimal noise = 0.7; Accuracy = 0.825520833333; classes= 0(223,60),1(298,70),2(113,28),3(39,18),4(150,41),5(30,14),6(627,8),7(176,53),8(195,50),9(453,60);0.828075709779              precision    recall  f1-score   support

         0.0       0.93      0.72      0.81       163
         1.0       0.84      0.71      0.77       228
         2.0       0.70      0.78      0.74        85
         3.0       0.67      0.48      0.56        21
         4.0       0.66      0.71      0.68       109
         5.0       0.92      0.69      0.79        16
         6.0       0.80      0.99      0.88       619
         7.0       0.88      0.72      0.79       123
         8.0       0.93      0.72      0.81       145
         9.0       0.90      0.83      0.87       393

   micro avg       0.83      0.83      0.83      1902
   macro avg       0.82      0.73      0.77      1902
weighted avg       0.84      0.83      0.83      1902
maxpredicted=0.000000maxpredicted min=-0.930797
Total Instances = 1902; Num instances misclassified = 327; Minimal noise = 0.8; Accuracy = 0.828075709779; classes= 0(163,46),1(228,65),2(85,19),3(21,11),4(109,32),5(16,5),6(619,9),7(123,34),8(145,41),9(393,65);0.826666666667              precision    recall  f1-score   support

         0.0       0.93      0.71      0.81       117
         1.0       0.81      0.71      0.75       163
         2.0       0.60      0.68      0.64        66
         3.0       0.42      0.50      0.45        10
         4.0       0.65      0.71      0.68        77
         5.0       0.50      0.18      0.27        11
         6.0       0.83      0.98      0.90       610
         7.0       0.88      0.64      0.74        89
         8.0       0.88      0.72      0.79       104
         9.0       0.91      0.81      0.86       328

   micro avg       0.83      0.83      0.83      1575
   macro avg       0.74      0.66      0.69      1575
weighted avg       0.83      0.83      0.82      1575
maxpredicted=0.000000maxpredicted min=-0.921460
Total Instances = 1575; Num instances misclassified = 273; Minimal noise = 0.9; Accuracy = 0.826666666667; classes= 0(117,34),1(163,48),2(66,21),3(10,5),4(77,22),5(11,9),6(610,12),7(89,32),8(104,29),9(328,61);0.850230414747              precision    recall  f1-score   support

         0.0       0.86      0.73      0.79        83
         1.0       0.82      0.61      0.70       115
         2.0       0.67      0.69      0.68        45
         3.0       0.80      0.80      0.80         5
         4.0       0.63      0.71      0.67        55
         5.0       0.00      0.00      0.00         2
         6.0       0.85      0.99      0.92       598
         7.0       0.84      0.65      0.73        57
         8.0       0.98      0.71      0.82        75
         9.0       0.91      0.83      0.87       267

   micro avg       0.85      0.85      0.85      1302
   macro avg       0.74      0.67      0.70      1302
weighted avg       0.85      0.85      0.85      1302
maxpredicted=0.000000maxpredicted min=-0.932762
Total Instances = 1302; Num instances misclassified = 195; Minimal noise = 1.0; Accuracy = 0.850230414747; classes= 0(83,22),1(115,45),2(45,14),3(5,1),4(55,16),5(2,2),6(598,7),7(57,20),8(75,22),9(267,46);
